clock,ident,squawk,facility,hexid,alt,lat,lon,gs,heading
1394210606,MAS370,2157,zH,75008F,2350,2.84436,101.660405,235,333
1394210634,MAS370,2157,zH,75008F,3100,2.875076,101.660684,257,24
1394210654,MAS370,,cf,75008F,3950,2.895264,101.669808,262,26
1394210666,MAS370,,zH,75008F,4525,2.910187,101.677117,265,27
1394210674,MAS370,2157,zH,75008F,4975,2.920349,101.682191,267,27
1394210693,MAS370,2157,cf,75008F,5800,2.934174,101.689081,270,26
1394210703,MAS370,,cf,75008F,6375,2.951752,101.697693,271,26
1394210714,MAS370,2157,cf,75008F,6900,2.963795,101.70347,273,26
1394210754,MAS370,2157,cf,75008F,8825,3.009659,101.725438,282,26
1394210773,MAS370,2157,cf,75008F,9725,3.033371,101.736704,285,26
1394210825,MAS370,,cf,75008F,10850,3.100379,101.768583,338,25
1394210833,MAS370,2157,cC,75008F,10975,3.1119,101.774,347,26
1394210847,MAS370,2157,zH,75008F,11475,3.133667,101.78442,332,25
1394210878,MAS370,2157,cC,75008F,12500,3.1807,101.8068,369,26
1394210903,MAS370,,zH,75008F,13600,3.219367,101.825077,373,25
1394210913,MAS370,2157,cC,75008F,14000,3.2351,101.8325,376,26
1394210943,MAS370,2157,cC,75008F,15350,3.2828,101.8554,378,26
1394210944,MAS370,,cf,75008F,15400,3.2844,101.85619,379,26
1394210974,MAS370,2157,cf,75008F,16475,3.330185,101.878083,385,26
1394211008,MAS370,2157,cC,75008F,17750,3.3878,101.9058,394,26
1394211033,MAS370,2157,cf,75008F,18675,3.428558,101.925287,396,26
1394211045,MAS370,,cf,75008F,19125,3.441607,101.931389,400,25
1394211063,MAS370,2157,cC,75008F,19825,3.4807,101.9496,402,25
1394211094,MAS370,2157,cC,75008F,20900,3.5325,101.9736,408,25
1394211128,MAS370,2157,cC,75008F,21950,3.5924,102.0018,418,26
1394211133,MAS370,,cC,75008F,22075,3.5994,102.0052,419,25
1394211159,MAS370,2157,cC,75008F,22775,3.6466,102.0276,426,25
1394211193,MAS370,2157,cC,75008F,23975,3.7073,102.0563,427,25
1394211224,MAS370,2157,cC,75008F,24775,3.763,102.0825,433,25
1394211254,MAS370,,cC,75008F,25525,3.8169,102.1079,440,25
1394211254,MAS370,2157,cC,75008F,25550,3.8187,102.1087,440,25
1394211284,MAS370,2157,cC,75008F,26200,3.874,102.1346,448,25
1394211314,MAS370,2157,cC,75008F,26900,3.9316,102.1618,454,25
1394211348,MAS370,2157,cC,75008F,27675,3.9968,102.1926,458,25
1394211388,MAS370,2157,cC,75008F,28600,4.074,102.2289,465,25
1394211423,MAS370,2157,cC,75008F,29350,4.143,102.2615,469,25
1394211454,MAS370,2157,cC,75008F,30025,4.2042,102.2904,472,25
1394211462,MAS370,,cC,75008F,30225,4.2193,102.2975,475,25
1394211703,MAS370,2157,fx,75008F,35000,4.701462,102.525066,468,25
1394211760,MAS370,2157,fx,75008F,35000,4.707316,102.527824,468,25
1394211760,MAS370,,fx,75008F,35000,4.707316,102.527824,469,25
