Time (UTC),Satellite Location (km) x,y,z,Satellite Velocity (km/s) x',y',z'
16:30:00,18122.9,38080.0,828.5,0.00216,-0.00107,0.06390
16:45:00,18124.8,38079.0,884.2,0.00212,-0.00114,0.05980
16:55:00,18126.1,38078.3,919.2,0.00209,-0.00118,0.05693
17:05:00,18127.3,38077.6,952.5,0.00206,-0.00120,0.05395
18:25:00,18136.7,38071.8,1148.5,0.00188,-0.00117,0.02690
19:40:00,18145.1,38067.0,1206.3,0.00189,-0.00092,-0.00148
20:40:00,18152.1,38064.0,1159.7,0.00200,-0.00077,-0.02422
21:40:00,18159.5,38061.3,1033.8,0.00212,-0.00076,-0.04531
22:40:00,18167.2,38058.3,837.2,0.00211,-0.00096,-0.06331
00:10:00,18177.5,38051.7,440.0,0.00160,-0.00151,-0.08188
00:20:00,18178.4,38050.8,390.5,0.00150,-0.00158,-0.08321
