Count,Direction,Encoding,Channel Hex,Channel Number,L-Band Frequency,C-Band Frequency,Rate,Unit ID
 10, TX, P, 36FC, 14076, 1545.1900, 6440.1900,   600, 10
 21, TX, C, 3730, 14128, 1545.3200, 6440.3200, 21000,  6
 21, TX, C, 3737, 14135, 1545.3375, 6440.3375, 21000,  6
 14, TX, C, 373E, 14142, 1545.3550, 6440.3550, 21000,  6
426, TX, P, 3859, 14425, 1546.0625, 6441.0625, 10500, 10
 26, TX, P, 386B, 14443, 1546.1075, 6441.1075, 10500, 10
 40, RX, R, 36D3, 14035, 1646.5875, 3615.0875,  1200,  8
213, RX, T, 36D7, 14039, 1646.5975, 3615.0975,  1200,  8
 77, RX, T, 36D8, 14040, 1646.6000, 3615.1000,  1200,  8
  1, RX, R, 36E1, 14049, 1646.6225, 3615.1225,   600,  8
 12, RX, R, 36E3, 14051, 1646.6275, 3615.1275,  1200, 11
 37, RX, R, 36ED, 14061, 1646.6525, 3615.1525,  1200,  4
  1, RX, R, 36F6, 14070, 1646.6750, 3615.1750,  1200, 10
  1, RX, R, 36F8, 14072, 1646.6800, 3615.1800,   600, 10
 28, RX, T, 36FA, 14074, 1646.6850, 3615.1850,  1200, 10
107, RX, T, 3718, 14104, 1646.7600, 3615.2600,  1200, 12
 29, RX, C, 3730, 14128, 1646.8200, 3615.3200, 21000,  6
 29, RX, C, 3737, 14135, 1646.8375, 3615.3375, 21000,  6
 22, RX, C, 373E, 14142, 1646.8550, 3615.3550, 21000,  6
